metric_key,label_cn,aliases,exclusion_terms,statement,value_type,unit_kind,sign_convention,is_nonrecurring,is_derived,industry,parent_key,display_order,example_sentence,example_source,scope_note,note
total_revenue,营业总收入,营业总收入|一、营业总收入,营业总收入预算|营业总收入预测|营业总收入增长率,income,flow,currency,positive_is_good,0,0,,,10,本年度营业总收入为【数值】元。,synthetic_example,,利润表第一行。一般工商企业 营业总收入 = 营业收入，但两者是两行，聚合时只能用其一
revenue,营业收入,营业收入|主营业务收入,营业收入预测|营业收入目标|营业收入占比|营业收入增长率|营业总收入,income,flow,currency,positive_is_good,0,0,,total_revenue,11,本报告期实现营业收入【数值】元，同比【上升/下降】【数值】%。,synthetic_example,,营业总收入下的「其中：」子项
operating_cost,营业成本,营业成本|主营业务成本,营业成本率|营业成本预算|单位营业成本|营业总成本|二、营业总成本,income,flow,currency,negative_is_good,0,0,,,20,本报告期营业成本为【数值】元。,synthetic_example,,⚠ 「营业总成本」是含税金及附加与四项期间费用的合计行，误映射过来会让毛利率变成营业利润率
gross_profit,毛利,,,income,flow,currency,positive_is_good,0,1,,,21,本年度实现毛利【数值】元，毛利率为【数值】%。,synthetic_example,,计算值 = 营业收入 − 营业成本
taxes_and_surcharges,税金及附加,税金及附加,,income,flow,currency,negative_is_good,0,0,,,22,,,,
selling_expense,销售费用,销售费用,销售费用率,income,flow,currency,negative_is_good,0,0,,,23,,,,
admin_expense,管理费用,管理费用,管理费用率,income,flow,currency,negative_is_good,0,0,,,24,,,,
rd_expense,研发费用,研发费用,研发费用率|研发投入|研发投入总额,income,flow,currency,positive_is_good,0,0,,,25,,,,研发投入总额含资本化部分，大于费用化的研发费用
finance_expense,财务费用,财务费用,利息费用|利息收入|财务费用率,income,flow,currency,negative_is_good,0,0,,,26,本年度财务费用为【数值】元。,synthetic_example,,含利息费用、利息收入、汇兑损益。「利息支出」明细在附注，不要与本科目混用
interest_expense,利息费用,利息费用|利息支出,利息收入|财务费用|利息保障倍数,income,flow,currency,negative_is_good,0,0,,,27,本年度利息费用为【数值】元。,synthetic_example,,★ Reported EBIT = 利润总额 + 利息费用 − 利息收入 的必需项
interest_income,利息收入,利息收入,利息费用|财务费用|投资收益,income,flow,currency,positive_is_good,0,0,,,28,本年度利息收入为【数值】元。,synthetic_example,,★ Reported EBIT = 利润总额 + 利息费用 − 利息收入 的必需项
operating_profit,营业利润,营业利润|三、营业利润,营业利润率|营业利润增长率|营业利润预测,income,flow,currency,positive_is_good,0,0,,,30,本年度营业利润为【数值】元。,synthetic_example,,Cross-check EBIT = 营业利润 + 财务费用
profit_before_tax,利润总额,利润总额|四、利润总额,利润总额增长率|利润总额预算|利润总额预测,income,flow,currency,positive_is_good,0,0,,,31,本年度利润总额为【数值】元。,synthetic_example,,★ Reported EBIT 的起算项
income_tax,所得税费用,所得税费用|减：所得税费用,所得税税率|实际税率,income,flow,currency,negative_is_good,0,0,,,32,,,,
net_income,净利润,净利润|五、净利润,净利润率|净利润增长率|净利润预测|归属于母公司,income,flow,currency,positive_is_good,0,0,,,33,本报告期实现净利润【数值】元。,synthetic_example,,含少数股东损益。排除词必须挡住「归属于母公司」，那是子项不是同一指标
net_income_parent,归属于母公司股东的净利润,归属于母公司所有者的净利润|归属于母公司股东的净利润|归属于上市公司股东的净利润,归母净利润率|归母净利润增长率|归母净利润预测,income,flow,currency,positive_is_good,0,0,,net_income,34,归属于母公司股东的净利润为【数值】元。,synthetic_example,,「其中：」层级子项
minority_interest_pl,少数股东损益,少数股东损益,,income,flow,currency,neutral,0,0,,net_income,35,,,,
non_gaap_net_income,扣除非经常性损益后的净利润,扣除非经常性损益后的净利润|归属于上市公司股东的扣除非经常性损益的净利润|扣非净利润,非经常性损益|扣非净利润率|扣非净利润增长率,income,flow,currency,positive_is_good,0,0,,,36,扣除非经常性损益后的净利润为【数值】元。,synthetic_example,,与 net_income 对照使用
non_recurring_gain_loss,非经常性损益,非经常性损益|非经常性损益合计,扣非净利润|扣除非经常性损益后的净利润,income,flow,currency,neutral,1,0,,,37,归属于上市公司股东的非经常性损益为【数值】元。,synthetic_example,,★ 须单独列示，是扣非净利润对照的基础
government_grant,政府补助,政府补助|计入当期损益的政府补助,政府补助递延收益|政府补助退回|补助收入确认,income,flow,currency,neutral,1,0,,non_recurring_gain_loss,38,本年度计入当期损益的政府补助为【数值】元。,synthetic_example,,钢铁企业金额常较大，单列。持续性经营补贴可保留，一次性补助剔除
